,Close
,VTI
Date,
2002-09-03,27.06962013244629
2002-09-04,27.51984977722168
2002-09-05,27.178068161010742
2002-09-06,27.6710262298584
2002-09-09,27.887928009033203
2002-09-10,28.081830978393555
2002-09-11,28.048952102661133
2002-09-12,27.408123016357422
2002-09-13,27.473848342895508
2002-09-16,27.5067195892334
2002-09-17,27.007183074951172
2002-09-18,26.829723358154297
2002-09-19,26.139598846435547
2002-09-20,26.139598846435547
2002-09-23,25.86025619506836
2002-09-24,25.502038955688477
2002-09-25,26.008150100708008
2002-09-26,26.441932678222656
2002-09-27,25.63678741455078
2002-09-30,25.32008171081543
2002-10-01,26.270204544067383
2002-10-02,25.649974822998047
2002-10-03,25.369556427001953
2002-10-04,24.84830665588379
2002-10-07,24.313861846923828
2002-10-08,24.66027069091797
2002-10-09,24.0169677734375
2002-10-10,24.742740631103516
2002-10-11,25.808340072631836
2002-10-14,25.94687843322754
2002-10-15,27.101558685302734
2002-10-16,26.484636306762695
2002-10-17,27.06525230407715
2002-10-18,27.17412567138672
2002-10-21,27.66238784790039
2002-10-22,27.31599235534668
2002-10-23,27.497432708740234
2002-10-24,27.134550094604492
2002-10-25,27.659099578857422
2002-10-28,27.362163543701172
2002-10-29,27.151033401489258
2002-10-30,27.352275848388672
2002-10-31,27.217021942138672
2002-11-01,27.77783966064453
2002-11-04,27.95599365234375
2002-11-05,28.12424659729004
2002-11-06,28.50363540649414
2002-11-07,27.843830108642578
2002-11-08,27.513927459716797
2002-11-11,27.03557586669922
2002-11-12,27.164230346679688
2002-11-13,27.217021942138672
2002-11-14,27.866924285888672
2002-11-15,28.041784286499023
2002-11-18,27.784452438354492
2002-11-19,27.688777923583984
2002-11-20,28.219932556152344
2002-11-21,28.79726219177246
2002-11-22,28.73457145690918
2002-11-25,28.784055709838867
2002-11-26,28.239727020263672
2002-11-27,29.031469345092773
2002-11-29,28.85004234313965
2002-12-02,28.942413330078125
2002-12-03,28.48714828491211
2002-12-04,28.41126823425293
2002-12-05,28.09126853942871
2002-12-06,28.213319778442383
2002-12-09,27.546924591064453
2002-12-10,28.025278091430664
2002-12-11,28.074769973754883
2002-12-12,27.975797653198242
2002-12-13,27.546924591064453
2002-12-16,28.206724166870117
2002-12-17,27.982391357421875
2002-12-18,27.583219528198242
2002-12-19,27.414947509765625
2002-12-20,27.73496437072754
2002-12-23,27.74557113647461
2002-12-24,27.612987518310547
2002-12-26,27.642822265625
2002-12-27,27.178791046142578
2002-12-30,27.32794761657715
2002-12-31,27.387617111206055
2003-01-02,28.173137664794922
2003-01-03,28.156564712524414
2003-01-06,28.76644515991211
2003-01-07,28.557626724243164
2003-01-08,28.19965934753418
2003-01-09,28.63716697692871
2003-01-10,28.716716766357422
2003-01-13,28.690196990966797
2003-01-14,28.819459915161133
2003-01-15,28.537738800048828
2003-01-16,28.45488166809082
2003-01-17,28.04055404663086
2003-01-21,27.559967041015625
2003-01-22,27.27822494506836
2003-01-23,27.46053123474121
2003-01-24,26.837404251098633
2003-01-27,26.336925506591797
2003-01-28,26.582195281982422
2003-01-29,26.897066116333008
2003-01-30,26.201019287109375
2003-01-31,26.62859535217285
